shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Linea_1,41.67236017739481,-3.6796473435148016,1,0.0
Linea_1,41.67215259014401,-3.681087840480074,2,121.85134463492057
Linea_1,41.67239823498454,-3.681159633737252,3,149.80912146758675
Linea_1,41.67299588089773,-3.681542592019298,4,223.48419398885704
Linea_1,41.67373107309948,-3.682114622164789,5,318.03733404682123
Linea_1,41.67515307830831,-3.683278208155485,6,503.3520603057258
Linea_1,41.67597354883949,-3.681714563871026,7,662.0615087838646
Linea_1,41.67607906617874,-3.6816682456403385,8,674.4090440838891
Linea_1,41.676169015249,-3.681700668401248,9,684.7670774673463
Linea_1,41.67732213892043,-3.682747492523816,10,839.68490821745
Linea_1,41.67748350805039,-3.682862252127677,11,860.0025329077826
Linea_1,41.677554427895785,-3.682818249809032,12,868.6940735316705
Linea_1,41.67764437490413,-3.6828506725699697,13,879.0518694767134
Linea_1,41.67767378062922,-3.682954888589052,14,888.3041678282966
Linea_1,41.67765302364765,-3.683059104607168,15,897.2618922118438
Linea_1,41.67759421216434,-3.683107738749016,16,904.9482508905129
Linea_1,41.67750080558093,-3.683082263722525,17,915.5478904093375
Linea_1,41.67631957908438,-3.685388846996972,18,1147.818643632196
Linea_1,41.67622145241734,-3.6856063801994026,19,1168.9246329298035
Linea_1,41.67619249872829,-3.685824870465865,20,1187.354312568872
Linea_1,41.67605825872835,-3.685867158904273,21,1202.688752343236
Linea_1,41.67592138628319,-3.685747341661653,22,1220.8728312388996
Linea_1,41.67573976662777,-3.685736769552221,23,1241.0870945634679
Linea_1,41.67463272866442,-3.6859450597969774,24,1365.3937423617015
Linea_1,41.67329792690165,-3.685697867846272,25,1515.2301668044074
Linea_1,41.67130537118448,-3.6850653712049,26,1742.935191039751
Linea_1,41.670973693729536,-3.6850618471681855,27,1779.817202822214
Linea_1,41.67064464694627,-3.685287385507337,28,1820.9224321684892
Linea_1,41.66997738727415,-3.6862267529515407,30,1928.5925527716115
Linea_1,41.66988525291836,-3.686713069995619,31,1970.2655457534838
Linea_1,41.66987209085727,-3.688193165345865,32,2093.212832610805
Linea_1,41.66991544373093,-3.6889851929321935,33,2159.1760039424316
Linea_1,41.67012077144688,-3.689894394361545,34,2238.0710578019293
Linea_1,41.66921318924119,-3.690466839260495,35,2349.629909478532
Linea_1,41.6691026266862,-3.691756636637336,36,2457.4663823043734
Linea_1,41.66864459975557,-3.69374763641477,37,2630.5086214342214
Linea_1,41.66873936834597,-3.693941458424888,38,2649.7501258722828
Linea_1,41.66872357359276,-3.694237477339868,39,2674.400911352057
Linea_1,41.668605761728,-3.69439871432337,40,2693.1353500377695
Linea_1,41.66847150590536,-3.694363473957623,41,2708.348187276911
Linea_1,41.66836357455105,-3.6940885991065215,42,2734.1422334880845
Linea_1,41.66768439265343,-3.694088599035069,43,2809.6638147726917
Linea_1,41.66506333214534,-3.6944051801172577,44,3102.296416298354
Linea_1,41.66327415952395,-3.6939253936541543,45,3305.1961779556555
Linea_1,41.66307144266264,-3.693861960996117,46,3328.3449700935726
Linea_1,41.66106357372382,-3.694068038598601,47,3552.265164534967
Linea_1,41.6610403672461,-3.693576237083192,48,3593.2018256036135
Linea_1,41.66009519455318,-3.693706626435272,49,3698.8569476358266
Linea_1,41.66004517013076,-3.693234405269351,50,3738.4786039164096
Linea_1,41.65748978804612,-3.693557215280237,51,4023.886844624333
Linea_1,41.65732917979616,-3.6936241719749887,52,4042.5919210952147
Linea_1,41.65720016628552,-3.6934092054268888,53,4065.4990714429464
Linea_1,41.6570316585007,-3.692919364346835,54,4110.300369362568
Linea_1,41.6568921126574,-3.6924471434489305,55,4152.488664436996
Linea_1,41.65681312431036,-3.692175792634629,56,4176.682532056278
Linea_1,41.65688158088344,-3.6919749225518217,57,4195.024528666049
Linea_1,41.65700796205806,-3.691922062003158,58,4209.747671919625
Linea_1,41.65713697591755,-3.6919713985150793,59,4224.6674112409355
Linea_1,41.657229128516434,-3.6921158840133046,60,4240.44978485457
Linea_1,41.6574318637696,-3.692175792634629,61,4263.535794888403
Linea_1,41.657716218633965,-3.692119408050047,62,4295.499712812491
Linea_1,41.657859670893885,-3.691919731951288,63,4318.513115002979
Linea_1,41.658459970147305,-3.691824582964216,64,4385.729754434156
Linea_1,41.65808873362951,-3.687232723281852,65,4769.431069670928
Linea_1,41.66031348936568,-3.68695708038112,66,5017.870192684826
Linea_1,41.660642585424,-3.6915846354194457,67,5404.034606080333
Linea_1,41.66126562217593,-3.691523815608036,68,5473.497125532077
Linea_1,41.66183956227559,-3.691333517634632,69,5539.245131636436
Linea_1,41.66204754848056,-3.691241892684303,70,5563.592459262637
Linea_1,41.66220644764789,-3.691295705039977,71,5581.817964870834
Linea_1,41.66255133383274,-3.691330945404985,72,5620.2791313211155
Linea_1,41.66416772880709,-3.691147347947037,73,5800.659968033311
Linea_1,41.66391236165472,-3.687341388473783,74,6118.089012219413
Linea_1,41.66394658617719,-3.687218047194364,75,6129.018766659138
Linea_1,41.66467585139645,-3.687295629091807,76,6210.365045987371
Linea_1,41.66501809174375,-3.6873238213840978,77,6248.492425751619
Linea_1,41.66774878197867,-3.6888341035649432,78,6577.02700895254
Linea_1,41.668882074273824,-3.689768564101513,79,6725.02999761294
Linea_1,41.66920849762656,-3.6904099387539295,80,6789.493719761101
Linea_1,41.67009562324745,-3.689877809548449,81,6897.587227030161
Linea_1,41.66988239821546,-3.688975656191872,82,6976.182556524977
Linea_1,41.66983764719316,-3.687847964496086,83,7069.982153983402
